Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"Paperчили","+7 707 727 2222","","Оптовая продажа специй","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Gold Food","+7 7272 29 42 19","","Оптовый магазин окороков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Доставка продуктов Алматы","+7 701 767 0748","","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"PRIME GOODS","+7 706 410 1512","https://primegoods.kz/","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин ""Тепличные товары""","+7 771 300 2283","https://bmax.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские Продукты (Магазин, интернет-магазин ""Беларуская Хатка"")","+7 7272 91 10 85","http://www.belhatka.kz/","Продовольственный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ТоргСервис КЗ-5","+7 771 574 5158","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Dzungla питомник растений","+7 707 411 6898","http://dzungla.kz/","Питомник растений","Тастыбулак",KZ,15,new,google_maps_apify,2026-08-16
"Qazaq Industry Company","+7 707 500 7434","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Казына","","","Рынок","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Рауза-АДЕ, ТОО","+7 7272 65 78 81","http://rauza-ade.kz/","Аптека","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ЛОТТЕ Рахат магазин","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"ТОО ""Рукоделие""","+7 727 333 1818","http://www.rukodelie.kz/","Магазин пряжи","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Shtuchka Almaty","+7 701 338 8286","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"cvetyalmaty-24.kz","+7 708 254 2206","","Оптовая продажа цветов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Морские деликатесы","+7 707 270 1240","https://instagram.com/morskiedelikatesy1?igshid=NzZlODBkYWE4Ng==","Рыбный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Детская одежда оптом в Kinderzon","+7 775 828 9330","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Gulliver","","","Оптовый рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аптечный Склад","+7 7272 33 56 83","","Аптека","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Кондитерская фабрика ЛОТТЕ Рахат","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Бытовая химия оптом | OASIS-SAUDA","+7 7272 20 88 30","https://oasis-sauda.kz/catalog/bytovaya-himiya/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО CIS MARKET","+7 727 339 7727","https://cismarket.kz/","Поставка товаров для пищевых производств","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Karabura Distribution","+7 747 126 3416","https://instagram.com/karabura_distribution_official?igshid=YmMyMTA2M2Y=","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Салон ковров Алматы Клем","+7 727 395 4607","http://www.almatykilem.kz/","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптово розничный рынок Арлан","","https://www.instagram.com/arlanbazar?igsh=OGVkaHZmaWNha2Fz&utm_source=qr","Рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TAC в Алматы","+7 707 343 4828","http://tackazakhstan.kz/","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DNS","+7 800 080-70-22","https://dns-shop.kz/","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"KULIK SYSTEM","+7 700 720 0012","https://ergokreslo.kz/","Магазин офисной мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"POLYWORKS","+7 727 379 6681","http://www.polyworks.kz/","Компьютерный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Картриджная компания CLA","+7 727 375 1757","https://copyline.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Одежда Алматы","+7 707 445 0785","https://instagram.com/youcase.kz?utm_medium=copy_link","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рынок Болашак","+7 776 077 0176","","Вещевой рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Optom nizhnee belie Almaty","+7 702 185 4277","https://instagram.com/optom_nizhnee_belie_almaty?utm_medium=copy_link","Магазин нижнего белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ufuk carpet","+7 747 600 5576","","Магазин ковров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Pera by mersi","+7 775 220 5634","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Alcomarket","+7 7272 79 56 91","","Магазин спиртных напитков","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"KazakhUpack Алматы - Пластиковая упаковка под пищевые и промышленные продукты","+7 727 310 0684","https://kazakhupack.kz/","Оптовая продажа изделий из пластика","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин Ракса Бар","+7 707 027 9098","","Магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Канцелярские товары","+7 747 600 7409","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин «Арсенал Кондитера»","+7 708 170 9007","http://www.arsenal-konditera.kz/","Товары для оформления тортов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ТОО ""ХАТБЕР-Казахстан""","+7 727 356 5366","http://hatber.kz/","Оптовая продажа канцелярских товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин спорттоваров ABKSPORT","+7 702 101 0521","http://www.netsport.kz/","Магазин спорттоваров","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Meat Master, магазин стейков, мясных деликатесов и полуфабрикатов","+7 777 847 3535","http://meat-master.kz/","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Компьютерный магазин ТОО ""Пульсер""","+7 700 356 8000","http://www.pulser.kz/","Компьютерный магазин","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Дезинфицирующие средства - ТОО ""Megados""","+7 705 222 2924","http://megados.kz/","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин Хозяюшка","+7 701 707 5320","","Магазин товаров для дома","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Магазин зоотоваров ""ZOOMARKET""","+7 7272 93 53 87","http://zoomarket.kz/","Зоомагазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"MIJUKI детские подгузники, трусики, памперсы, японские, все размеры подгузников в Алматы и по Казахстану. Быстрая доставка","+7 707 828 1106","https://mijuki.kz/","Многоразовые пеленки и подгузники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет магазин vsemarket Оптово розничный Фулфилмент","+7 771 563 6200","http://vsemarket.kz/","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет-магазин Aeon","+7 701 224 2725","https://aeon.kz/contacts","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Froot.kz","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Постельное бельё Алматы ""ALA TEXTILE""","+7 747 846 2584","https://instagram.com/ala_textile_almaty?igshid=NGVhN2U2NjQ0Yg==","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Greenway (Гринвей)","+7 707 233 7575","","Оптовая продажа товаров повседневного спроса","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рыбный холодильник","","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговая компания OASIS Group Distribution Алматы | Бытовая химия, Товары для дома, Средства личной гигиены оптом","+7 7272 20 88 30","https://oasis-sauda.kz/","Оптовая продажа товаров повседневного спроса","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аюпские Сладости","+7 771 800 0179","","Оптовая продажа кондитерских изделий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Gulmarket","+7 775 337 7077","https://gulmarket.kz/","Доставка цветов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Redline Retail""","+7 777 700 6688","https://rlr.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО «Авангард - спецодежда Казахстан» Спецодежда, Спецобувь, СИЗ.","+7 727 390 7907","https://www.avangard-sp.kz/","Магазин спецодежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин Бул Бул","","","Супермаркет","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"АлкоМаркет","+7 747 542 7017","","Оптовая продажа алкогольных напитков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Tanauto Kazakhstan","+7 747 111 7333","http://www.tanauto.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Arsi Group","+7 775 233 7777","http://www.arsi.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Продать рыбу Google","+7 701 672 0051","https://fishdelicatesse.kz/","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Kiwano","+7 700 303 3388","http://www.kiwano.kz/","Магазин косметики и парфюмерии","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Белорусские Продукты №1","","https://www.instagram.com/belorusskie_vkusnosty_almaty/","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Meteorit.kz","+7 727 339 6800","http://meteorit.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TOO OTR GROUP - продажа запчастей для спецтехники","+7 701 433 9236","https://otr-group.kz/","Магазин автозапчастей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Цветы Алматы ОРАНЖ Заказать Доставку Букетов из роз от ОРАНЖ МЕГАПАРК (Сейфуллина 410)","+7 707 820 0729","https://orange-flowers.kz/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Krinner Kazakhstan""","+7 7272 23 87 79","http://www.krinner.kz/","Строительная компания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ARIAN IMPEX ( АРИАН ИМПЕКС ) - индийский чай","+7 701 731 2932","https://arianimpex.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SHOK","+7 776 264 8152","http://www.dauscher.kz/","Оптовая продажа бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сапар и Боря фурнитура","","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Канц-Тенгри, ТОО","+7 7272 20 98 58","https://kanz-tengri.kz/","Магазин канцелярских товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"peptidesco-asia","+7 701 608 7951","https://peptidesco-asia.kz/","Оптовая продажа лекарственных средств","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ГК Велунд Сталь Металлопрокат, Трубы, Листы, Сталь в Алматы","+7 727 312 3823","https://almaty.gkws.kz/","Поставщик металлопроката","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"GLOBAL-KANS","+7 775 866 8701","http://www.g-k.kz/","Магазин канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цемент, пеноплэкс | Stroymagaz Алматы","+7 777 010 5252","http://stroymagaz.kz/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Компания Интеркомсеть","+7 702 169 1174","https://intercomset.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"КОМФОРТ.KZ","+7 706 615 1088","https://smmpro.kz/","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"И-АР-СИ Дистрибьюшн Казахстан","+7 727 338 5754","https://erc-distribution.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин спортивных товаров","+7 727 385 0090","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Balahi","+7 775 180 0171","http://www.balahi.kz/","Магазин игрушек","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Virgin Beauty","+7 727 333 7772","https://virgin-nail.kz/","Фирменный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"G.Winner","+7 701 988 6888","https://gwinner.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"GAISSINA","+7 701 774 7772","","Магазин женской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Jamilya.flowers","+7 707 600 5066","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговый Дизайн","+7 778 870 1881","https://t-d.kz/","Оборудование для пищевой промышленности","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ИП ""Abyroi""","+7 707 233 0707","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ЛОТТЕ Рахат фирменный магазин №1","+7 7272 58 47 10 ext. 590","https://rakhat.kz/","Кондитерский магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет-магазин электроники и электротехники METOO","+7 771 993 4191","https://metoo.kz/","Интернет-магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Салон итальянской мебели ""Акниет""","+7 701 789 8418","http://www.akniet.kz/","Магазин мебели","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин ТОО ""SAFETY GROUPS"" Спецодежда.","+7 706 608 8944","http://www.safety-group.kz/","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Верненский Рынок","+7 708 951 4988","","Продуктовый рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"GLOBAL PACK KZ","+7 775 007 7713","http://grandpack.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Актив-Снаб","+7 727 317 1306","https://aktiv-snab.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TOO PAPIRONE","+7 701 233 9541","https://papirone.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сement Trade","+7 727 364 5555","http://www.cemtrade.kz/","Магазин строительных товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"AK Cent Microsystems","+7 727 341 0525","http://www.ak-cent.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Бейо Тукым","+7 727 390 4072","http://www.bejo.kz/","Поставщик семян","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"КоМИльфо трейд","+7 747 885 4328","https://komilfo-trade.satu.kz/","Оптовая продажа строительных материалов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Изотех Строй ""Izoteh Stroy""","+7 702 202 6570","","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Alma Chocolates - Производство брендированных шоколадных подарков","+7 707 317 3217","http://www.almachocolates.kz/","Магазин шоколада","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Электротехника","+7 7272 34 30 10","https://www.electrotechnika.kz/","Магазин электротоваров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Caramel shop","+7 701 272 7077","https://www.instagram.com/caramelshop_almaty/?hl=ru","Магазин женской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Magnum Super","+7 727 339 7340","https://magnum.kz/","Супермаркет","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Ветеринарная Аптека ТОО "" NurTradeCompany ""","+7 775 597 4287","https://too-nurtradecompany.satu.kz/","Ветеринарная аптека","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Рауза-АДЕ сеть аптечных складов","","http://rauza-ade.kz/","Аптека","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"glo","+7 800 080-10-80 ext. 5757","https://myglo.kz/","Поставщик табака","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Центр Цветов Romantic","+7 708 880 7777","https://www.instagram.com/almaty_romantic/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Плитняк с доставкой по Казахстану","+7 777 153 3335","https://www.camen.kz/","Поставщик камня","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин автозапчастей на Тойота и Лексус - LETO","+7 707 310 0013","http://www.leto.kz/","Магазин автозапчастей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Şynaiy brand","+7 777 130 2360","https://instagram.com/synaiy.brand?utm_medium=copy_link","Швейное ателье","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Protool.kz","+7 7272 20 77 67","https://protool.kz/","Магазин строительных товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Tvoya Krasa - магазин проф. косметики","+7 705 898 8494","","Оптовая продажа косметики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"u4u company","+7 777 215 4246","","Оптовая продажа электроники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Зоомагазин ""Любимцы"" на Гоголя","+7 707 909 6121","https://lubimci.kz/","Зоомагазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Часовой Центр Перспектива","+7 700 090 9067","https://perspectiva.kz/","Ломбард","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"GARDASHLAR","","https://instagram.com/gardashlar.kz?igshid=YmMyMTA2M2Y=","Обувной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Silver Wings ""Серебряные Крылья""","+7 707 288 5556","https://silver-wings.ru/","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AR-KA-TRUCK","+7 777 587 3000","","Оптовая продажа автомобильных принадлежностей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Спецодежда","+7 708 972 7636","https://too-bisoft.com/","Магазин спецодежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Техцентр","+7 7272 73 11 79","http://www.techcentre.kz/","Поставщик офисного оборудования","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Q4 Tulpar Auto","+7 747 095 2581","","Автосалон","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TOO Kaz Poliv ( Каз Полив )","+7 705 111 5862","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Asaý Júrek","+7 771 466 1465","https://www.instagram.com/asayjurek/","Секонд-хенд","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"abdi","+7 701 351 8488","https://abdi.kz/","Магазин канцелярских товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Серкебаева Айгуль официальный дистрибьютер CORAL CLUB","+7 707 137 3376","https://coral.club/7423953.html","Консультант по здоровью","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Abumi","+7 775 828 6653","https://abumi.kz/","Оптовая продажа бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Plants Company озеленение питомник растений автополив Алматы","+7 702 464 8038","http://plants.kz/","Питомник растений","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алмаросметиз (Сетка рабица в Алматы)","+7 727 339 7780","https://setka.kz/","Компания – изготовитель стальных конструкций","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ИП Arsenoil","+7 777 374 4424","","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Планета Сириус спецодежда","+7 707 666 1715","https://sirius-asker.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Obuv_vnalichii","+7 747 194 0535","http://instagram.com/obuv_vnalichii","Обувной магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алмата Инструмент","+7 701 186 4949","https://tools.kz/","Магазин инструмента","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет-магазин техники IT SKLAD","+7 727 346 9144","https://www.itsklad.kz/","Магазин электроники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Компания Ас-Ай","+7 775 007 0934","http://asay.kz/","Продажа грузовых автомобилей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Perfect-tyre","+7 707 760 5050","","Магазин шин и дисков","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Запчасти Камаз|Китайские шины для грузовых авто|Шины на фуру|Шины на грузовые авто оптом|Резина на тягач,на прицеп","+7 777 252 9198","http://www.gl-auto.kz/","Оптовая продажа автомобильных принадлежностей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алматинский продукт","+7 7272 29 89 85","","Кондитерский магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Металл Профиль","+7 7272 37 70 07","https://almaty.metallprofil.kz/?utm_source=google&utm_medium=maps","Магазин кровельных материалов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Купить Керамогранит, Ламинат, Гранит, Алюминиевый профиль, Кронштейн, Купить в Алматы ""Алатекс""","+7 700 442 2888","https://stroy-shop.kz/","Строительный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"LETO — сеть магазинов автозапчастей Тойота и Лексус","+7 707 310 6425","http://leto.kz/","Магазин автозапчастей","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Akbalmaty - аккумуляторы в Алматы","+7 747 299 9000","https://akbalmaty.kz/","Магазин батарей и аккумуляторов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""DELS""","+7 777 297 8014","https://dels.kz/","Поставщик офисного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ПерилаГлавСнаб - Казахстан","+7 727 312 3293","https://perilaglavsnab.kz/","Магазин материалов для строительства ограждений","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"BALTAU","+7 701 982 3853","https://baltau.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"REVER home decor","+7 708 171 8407","https://rever.kz/","Магазин сувениров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ВИНТ моноблоки, корпуса, блоки питания","+7 705 577 6410","https://wint.kz/","Компьютерный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"RINO","+7 707 317 0070","https://rino.kz/","Компьютерный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Renault Официальный дилер (Алматы Суюнбая)","+7 708 941 0882","http://aster-renault.kz/","Автосалон","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"AEC Kazakhstan | Almaty electro consult","+7 707 527 2010","https://aecsolutions.kz/","Поставщик электрооборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Julius Meinl","+7 771 709 2007","","Поставщик кофемашин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"LEDA TRUCK","+7 747 220 2324","http://leda-truck.kz/","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"MARTEN LP","+7 727 383 0991","http://marten.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Cosmic Garden Coffee™","+7 706 601 1774","https://cosmicgardencoffee.kz/","Кофейная ростерия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TOO Baraholka-Express.kz","+7 700 050 4242","https://baraholka-express.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"""TRADE CK""","+7 7272 20 72 35","","Строительный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Склад Мебели","+7 775 700 8255","https://wa.me/77757008255","Магазин мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет-магазин швейной фурнитуры и товаров для рукоделия MK-STYLE","+7 778 618 2332","https://mk-style.kz/","Магазин товаров для рукоделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Продукты Питания","+7 707 120 0645","http://foods.satu.kz/","Оптовая торговля сельскохозяйственной продукцией","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Склад дверей в Алматы (Мдвери)","+7 705 333 7279","http://skladdverey.kz/","Склад дверей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Текемет магазин Ковров","+7 778 376 5195","https://www.instagram.com/tekemet.kovry/","Текстильная фабрика","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Швейная фурнитура","+7 702 684 7711","http://instagram.com/sfo_almaty","Оптовая продажа нитей и пряжи","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Грузовые шины, Шины для спецтехники Алматы - Vartech","+7 771 990 2782","http://vartech.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Adenna Trade ТОО","+7 747 154 5359","http://mirkosmetiki.kz/","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО МАКМАРТ АЛАТАУ","+7 702 206 9475","http://makmart.com/","Оптовая продажа мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Nikamart","","","Торговый центр","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Издательство «Жазушы»","+7 707 620 0087","https://zhazushy.kz/","Книгоиздательство","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Myboo - Детская одежда","+7 775 147 6709","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Хвойные деревья Питомник ""Коксу""","+7 701 785 5636","","Ёлочный питомник","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Офис ""Чайная лавка"" ""Фирма Экзотик""","+7 707 771 6604","http://exotik-tea.kz/","Оптовая продажа чая","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Kobaz","+7 701 914 8425","http://kobaz.kz/","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Швейный цех","+7 701 457 1482","","Швейный цех","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"NMK Market","+7 747 598 2605","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
